"","ID","COD1","NOM1","COD2","NOM2","XX","YY","ALT","DEP","PRCPTOT","R1mm","SDII","RX1day","RX5day","R95pTOT","CDD","CDDm","CWD","CWDm","R95p"
"7",4,708,"PUNO",708,"PUNO",-70.018056,-15.823333,3840,"PUNO",41,41,41,41,41,41,41,41,41,41,41
"5",6,762,"PAMPAHUTA",762,"PAMPAHUTA",-70.6775,-15.491389,4320,"PUNO",43,43,43,43,43,43,43,43,43,43,43
"11",7,764,"CHUQUIBAMBILLA",764,"CHUQUIBAMBILLA",-70.728333,-14.796389,3910,"PUNO",39,39,39,39,39,39,39,39,39,39,39
"17",11,779,"LAMPA",779,"LAMPA",-70.372778,-15.355833,3900,"PUNO",42,42,42,42,42,42,42,42,42,42,42
"10",12,780,"CABANILLAS",780,"CABANILLAS",-70.346389,-15.6393,3890,"PUNO",43,43,43,43,43,43,43,43,43,43,43
"16",17,786,"HUANCANE",786,"HUANCANE",-69.7625,-15.203333,3860,"PUNO",42,42,42,42,42,42,42,42,42,42,42
"2",18,787,"HUARAYA MOHO",787,"HUARAYA MOHO",-69.491389,-15.389722,3890,"PUNO",41,41,41,41,41,41,41,41,41,41,41
"15",19,788,"CAPACHICA",788,"CAPACHICA",-69.8443,-15.6158,3819,"PUNO",37,37,37,37,37,37,37,37,37,37,37
"21",23,816,"TARACO",816,"TARACO",-69.9825,-15.305,3820,"PUNO",41,41,41,41,41,41,41,41,41,41,41
"23",33,878,"MAZO CRUZ",878,"MAZO CRUZ",-69.711667,-16.745556,3970,"PUNO",39,39,39,39,39,39,39,39,39,39,39
"1",38,883,"DESAGUADERO",883,"DESAGUADERO",-69.0404,-16.5688,3860,"PUNO",43,43,43,43,43,43,43,43,43,43,43
"4",39,889,"LARAQUERI",889,"LARAQUERI",-70.067778,-16.1525,3970,"PUNO",41,41,41,41,41,41,41,41,41,41,41
"14",44,157414,"PUTINA",157414,"PUTINA",-69.868028,-14.914889,3878,"PUNO",41,41,41,41,41,41,41,41,41,41,41
"12",46,158310,"ICHUÑA",158310,"ICHUÑA",-70.53725,-16.14075,3792,"MOQUEGUA",41,41,41,41,41,41,41,41,41,41,41
"22",47,158326,"CAPAZO",158326,"CAPAZO",-69.745556,-17.186389,4419,"PUNO",42,42,42,42,42,42,42,42,42,42,42
