SIG,Xksign,XEa1,XEa2,names,p.value.pettitt.aft.tend
0,201.544368501189,1995,1996,708,0.287545560109111
0,201.544368501189,1993,NA,762,0.298698972680636
0,201.544368501189,1976,1978,764,0.696717890156141
0,201.544368501189,1986,NA,779,0.226028595092624
0,201.544368501189,1979,NA,780,0.550254433045162
0,201.544368501189,1988,NA,786,0.190258117199243
0,201.544368501189,1988,NA,787,0.255616024887089
0,201.544368501189,1994,NA,788,0.144353029329757
0,201.544368501189,1999,NA,816,0.134278124131176
0,201.544368501189,1986,NA,878,0.09664671594408
0,201.544368501189,1988,NA,883,0.09664671594408
0,201.544368501189,1986,NA,889,0.521182788580272
0,201.544368501189,1980,NA,157414,0.780285973925408
0,201.544368501189,1993,NA,158310,0.245491285434731
0,201.544368501189,1994,NA,158326,0.478308486494173
